origin,saved_converged,rerun_converged,warnflag,task,iterations,function_calls,objective_value,gradient_l2_norm,gradient_max_abs,drift,ma.L1,ma.L2,sigma2,minimum_ma_root_modulus,training_return_volatility,trailing_20_return_volatility,trailing_60_return_volatility,absolute_1_day_return,absolute_5_day_return,absolute_20_day_return,convergence_matches_saved
2021-05-26,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,130,-3.018670522927444,0.08275399065872549,0.07661595460284644,0.0003887290214739339,-0.09153324427541798,-0.01920230655423557,0.00013981954580257115,5.216452439023748,0.011875746660403735,0.009097200351947747,0.008367199696457696,0.0019825655493930228,0.0197855753665257,0.003993163495001895,True
2021-06-03,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,125,-3.0190104431944653,0.08268524217650304,0.07671964503686325,0.00038838457274629166,-0.0915399660764167,-0.0191924111249719,0.00013972461160361002,5.217255091344179,0.011871714452419342,0.008778819175746343,0.007440792226592507,0.0037183724467553247,0.0007161402179809429,0.00723765745091054,True
2021-06-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,125,-3.0193151304684647,0.08287498881832178,0.07663631937937822,0.00038967895966248166,-0.09158671624842782,-0.019173916008814927,0.00013963928048375018,5.218144867947846,0.011868143982470037,0.006163109383651498,0.007390664121224504,0.004637698818160452,0.011491270483142024,0.043914385984634485,True
2021-06-17,False,False,2,ABNORMAL: ,2,240,-3.0196398774247513,0.08278086764321728,0.07674904778376714,0.0003888973270382393,-0.09156137548421758,-0.019185278128397733,0.00013954872205458295,5.2175377251523445,0.011864264625073026,0.004365068571271925,0.006994722996632544,0.0003314383679171584,0.003878780344575894,0.026681925287110886,True
2021-06-24,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,130,-3.0197773007128044,0.0829353353124021,0.07661992542651631,0.0003900718393023369,-0.0916602812987677,-0.019172650509235226,0.00013951012575502596,5.216947129046878,0.011862731276010594,0.005649969950920347,0.007159863354568982,0.005898256825958903,0.010656308286352889,0.017552658206938077,True
2021-07-01,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,225,-3.020104264172782,0.08298042902098189,0.07666562580333248,0.0003915402477451065,-0.09162575991317717,-0.019159120993183936,0.00013941892192125555,5.2188277418744375,0.0118588165910721,0.005630186829000371,0.006858709749111474,0.0055213691899380635,0.012460237837477628,0.030729036262396647,True
2021-07-09,False,False,2,ABNORMAL: ,2,225,-3.0203376047661017,0.08306476494644627,0.07664444736655042,0.00039289193146493386,-0.0917054415926491,-0.01908601546966265,0.0001393537809477702,5.224240628057178,0.011856118379962036,0.006271384277252516,0.007051453811283188,0.010618072046863603,0.011755993090553751,0.030993758869808374,True
2021-07-16,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,125,-3.0206289674711893,0.08273628265293244,0.07691597621040416,0.0003913676707538613,-0.09165550802122902,-0.019147670250012547,0.00013927297592247152,5.219365004049878,0.01185262164023454,0.006574686932045412,0.006859685482871656,0.007874466689844262,0.009644032680572678,0.02522850653381159,True
2021-07-23,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,125,-3.0206806524805385,0.08310658299608048,0.07657326444033032,0.0003937373916829429,-0.09156742528405727,-0.01922806563004144,0.00013925800327646857,5.213442507580826,0.01185192019395869,0.007037574422055545,0.00729875063163912,0.010235455788961012,0.019741754522640598,0.0343139527700993,True
2021-07-30,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,135,-3.0209950837677764,0.0828295659386844,0.07682013194454698,0.00039309247727030964,-0.09156867456515397,-0.01927822869340277,0.00013917078619054497,5.208758781431232,0.011848209369762224,0.007263350497290368,0.007228400610326293,0.004868322639203448,0.0032557260479881833,0.018597988884633487,True
2021-08-06,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,230,-3.021283715476012,0.08300327804462904,0.07673920197071339,0.0003940376753086652,-0.09162764682855595,-0.019272606834692747,0.00013909026758342924,5.208229883009336,0.011844851512195893,0.00684639132317304,0.006350297144640825,0.0016509719797337397,0.00903514507388703,0.015877140867966766,True
