origin,initial_converged,initial_iterations,initial_warnflag,initial_objective_value,initial_optimizer_message,initial_optimizer_status,initial_parameters,retry_attempted,retry_accepted,retry_count,retry_parameter,retry_parameter_offset,retry_converged,retry_iterations,retry_warnflag,retry_objective_value,retry_optimizer_message,retry_optimizer_status,retry_history,converged,iterations,warnflag,objective_value,optimizer_message,optimizer_status,parameters,forecast_is_finite,parameters_are_finite
2026-03-31 23:00:00+00:00,True,39,0,-1.461430649094919,,,"{'const': 0.0001678116515269672, 'ar.L1': 0.2673037849568385, 'ar.L2': 0.38211153896403166, 'ma.L1': 0.651335776363023, 'ma.L2': 0.4237364512711219, 'sigma2': 0.0031481556070064825}",False,False,0,,,,,,,,,[],True,39,0,-1.461430649094919,,,"{'const': 0.0001678116515269672, 'ar.L1': 0.2673037849568385, 'ar.L2': 0.38211153896403166, 'ma.L1': 0.651335776363023, 'ma.L2': 0.4237364512711219, 'sigma2': 0.0031481556070064825}",True,True
2026-04-07 23:00:00+00:00,True,37,0,-1.4623508370125546,,,"{'const': 2.9148562635478087e-05, 'ar.L1': 0.26755727954610337, 'ar.L2': 0.38204011854449715, 'ma.L1': 0.6512332286372209, 'ma.L2': 0.42357060544668834, 'sigma2': 0.0031424309232014826}",False,False,0,,,,,,,,,[],True,37,0,-1.4623508370125546,,,"{'const': 2.9148562635478087e-05, 'ar.L1': 0.26755727954610337, 'ar.L2': 0.38204011854449715, 'ma.L1': 0.6512332286372209, 'ma.L2': 0.42357060544668834, 'sigma2': 0.0031424309232014826}",True,True
2026-04-14 23:00:00+00:00,True,34,0,-1.4632979225941827,,,"{'const': 7.013234811752787e-05, 'ar.L1': 0.2678809613462534, 'ar.L2': 0.3818487815155227, 'ma.L1': 0.6510471453429216, 'ma.L2': 0.42352055163942015, 'sigma2': 0.0031364185095381996}",False,False,0,,,,,,,,,[],True,34,0,-1.4632979225941827,,,"{'const': 7.013234811752787e-05, 'ar.L1': 0.2678809613462534, 'ar.L2': 0.3818487815155227, 'ma.L1': 0.6510471453429216, 'ma.L2': 0.42352055163942015, 'sigma2': 0.0031364185095381996}",True,True
2026-04-21 23:00:00+00:00,True,40,0,-1.4642251382300464,,,"{'const': -2.047838401427997e-05, 'ar.L1': 0.2682281477461729, 'ar.L2': 0.3818687699283404, 'ma.L1': 0.650832848226803, 'ma.L2': 0.4233488001933613, 'sigma2': 0.0031306414001655855}",False,False,0,,,,,,,,,[],True,40,0,-1.4642251382300464,,,"{'const': -2.047838401427997e-05, 'ar.L1': 0.2682281477461729, 'ar.L2': 0.3818687699283404, 'ma.L1': 0.650832848226803, 'ma.L2': 0.4233488001933613, 'sigma2': 0.0031306414001655855}",True,True
2026-04-28 23:00:00+00:00,True,42,0,-1.4651952810496365,,,"{'const': -9.15153888493137e-05, 'ar.L1': 0.2684354889108602, 'ar.L2': 0.38185259685456036, 'ma.L1': 0.6508013650443633, 'ma.L2': 0.42327651319457693, 'sigma2': 0.0031245231412160733}",False,False,0,,,,,,,,,[],True,42,0,-1.4651952810496365,,,"{'const': -9.15153888493137e-05, 'ar.L1': 0.2684354889108602, 'ar.L2': 0.38185259685456036, 'ma.L1': 0.6508013650443633, 'ma.L2': 0.42327651319457693, 'sigma2': 0.0031245231412160733}",True,True
2026-05-05 23:00:00+00:00,True,34,0,-1.4661047891722496,,,"{'const': 3.438826415323502e-05, 'ar.L1': 0.268732236782161, 'ar.L2': 0.3818008029463887, 'ma.L1': 0.6506667006208577, 'ma.L2': 0.42310542813010604, 'sigma2': 0.0031188610432287805}",False,False,0,,,,,,,,,[],True,34,0,-1.4661047891722496,,,"{'const': 3.438826415323502e-05, 'ar.L1': 0.268732236782161, 'ar.L2': 0.3818008029463887, 'ma.L1': 0.6506667006208577, 'ma.L2': 0.42310542813010604, 'sigma2': 0.0031188610432287805}",True,True
2026-05-12 23:00:00+00:00,True,40,0,-1.4669210542988291,,,"{'const': 0.00014683313593387022, 'ar.L1': 0.26905469664911263, 'ar.L2': 0.3815149468496241, 'ma.L1': 0.6506116788948118, 'ma.L2': 0.42316974600965407, 'sigma2': 0.0031137080243321146}",False,False,0,,,,,,,,,[],True,40,0,-1.4669210542988291,,,"{'const': 0.00014683313593387022, 'ar.L1': 0.26905469664911263, 'ar.L2': 0.3815149468496241, 'ma.L1': 0.6506116788948118, 'ma.L2': 0.42316974600965407, 'sigma2': 0.0031137080243321146}",True,True
2026-05-19 23:00:00+00:00,True,39,0,-1.4678883476487792,,,"{'const': 0.00011479151446686846, 'ar.L1': 0.26928848724382715, 'ar.L2': 0.3814777902439349, 'ma.L1': 0.6505251281384989, 'ma.L2': 0.42309202649960587, 'sigma2': 0.0031077307000906573}",False,False,0,,,,,,,,,[],True,39,0,-1.4678883476487792,,,"{'const': 0.00011479151446686846, 'ar.L1': 0.26928848724382715, 'ar.L2': 0.3814777902439349, 'ma.L1': 0.6505251281384989, 'ma.L2': 0.42309202649960587, 'sigma2': 0.0031077307000906573}",True,True
2026-05-26 23:00:00+00:00,True,38,0,-1.4689213817134623,,,"{'const': 0.00018222276419307905, 'ar.L1': 0.26945204049409677, 'ar.L2': 0.38146859127026084, 'ma.L1': 0.6504973244547092, 'ma.L2': 0.4230577163373781, 'sigma2': 0.0031014229632678066}",False,False,0,,,,,,,,,[],True,38,0,-1.4689213817134623,,,"{'const': 0.00018222276419307905, 'ar.L1': 0.26945204049409677, 'ar.L2': 0.38146859127026084, 'ma.L1': 0.6504973244547092, 'ma.L2': 0.4230577163373781, 'sigma2': 0.0031014229632678066}",True,True
2026-06-02 23:00:00+00:00,True,43,0,-1.4698411938610438,,,"{'const': 0.0001276036340750263, 'ar.L1': 0.26992709439250895, 'ar.L2': 0.3816918899963513, 'ma.L1': 0.6502760378588925, 'ma.L2': 0.42275777346719773, 'sigma2': 0.0030956236326429845}",False,False,0,,,,,,,,,[],True,43,0,-1.4698411938610438,,,"{'const': 0.0001276036340750263, 'ar.L1': 0.26992709439250895, 'ar.L2': 0.3816918899963513, 'ma.L1': 0.6502760378588925, 'ma.L2': 0.42275777346719773, 'sigma2': 0.0030956236326429845}",True,True
2026-06-09 23:00:00+00:00,True,41,0,-1.470758073764085,,,"{'const': 0.0003426005495202564, 'ar.L1': 0.27030840350051233, 'ar.L2': 0.38204344974372656, 'ma.L1': 0.6501993758858776, 'ma.L2': 0.42248259095576324, 'sigma2': 0.003090027487420282}",False,False,0,,,,,,,,,[],True,41,0,-1.470758073764085,,,"{'const': 0.0003426005495202564, 'ar.L1': 0.27030840350051233, 'ar.L2': 0.38204344974372656, 'ma.L1': 0.6501993758858776, 'ma.L2': 0.42248259095576324, 'sigma2': 0.003090027487420282}",True,True
2026-06-16 23:00:00+00:00,True,47,0,-1.4716121675655875,,,"{'const': 0.0006476910745323096, 'ar.L1': 0.27081719140301846, 'ar.L2': 0.38272171544250616, 'ma.L1': 0.650203125120489, 'ma.L2': 0.4221029502006661, 'sigma2': 0.0030846898645483832}",False,False,0,,,,,,,,,[],True,47,0,-1.4716121675655875,,,"{'const': 0.0006476910745323096, 'ar.L1': 0.27081719140301846, 'ar.L2': 0.38272171544250616, 'ma.L1': 0.650203125120489, 'ma.L2': 0.4221029502006661, 'sigma2': 0.0030846898645483832}",True,True
2026-06-23 23:00:00+00:00,True,47,0,-1.4725387565706696,,,"{'const': 0.0003808617664020442, 'ar.L1': 0.27132101687423005, 'ar.L2': 0.38340247901935637, 'ma.L1': 0.6501248999787351, 'ma.L2': 0.421623593149991, 'sigma2': 0.003078905323642637}",False,False,0,,,,,,,,,[],True,47,0,-1.4725387565706696,,,"{'const': 0.0003808617664020442, 'ar.L1': 0.27132101687423005, 'ar.L2': 0.38340247901935637, 'ma.L1': 0.6501248999787351, 'ma.L2': 0.421623593149991, 'sigma2': 0.003078905323642637}",True,True
2026-06-30 23:00:00+00:00,True,47,0,-1.4736223892856792,,,"{'const': 0.0003570627883097722, 'ar.L1': 0.27136233255125364, 'ar.L2': 0.3834358872066213, 'ma.L1': 0.6500694604914238, 'ma.L2': 0.42143638735156025, 'sigma2': 0.0030723587141404034}",False,False,0,,,,,,,,,[],True,47,0,-1.4736223892856792,,,"{'const': 0.0003570627883097722, 'ar.L1': 0.27136233255125364, 'ar.L2': 0.3834358872066213, 'ma.L1': 0.6500694604914238, 'ma.L2': 0.42143638735156025, 'sigma2': 0.0030723587141404034}",True,True
